cname,mname,mdesc,mhash,line,inst,attr,event,vtype,freq,record,value1,seqnum1,thread1,value2,seqnum2,thread2,value3,seqnum3,thread3,value4,seqnum4,thread4,value5,seqnum5,thread5,value6,seqnum6,thread6,value7,seqnum7,thread7,value8,seqnum8,thread8,value9,seqnum9,thread9,value10,seqnum10,thread10,value11,seqnum11,thread11,value12,seqnum12,thread12,value13,seqnum13,thread13,value14,seqnum14,thread14,value15,seqnum15,thread15,value16,seqnum16,thread16,value17,seqnum17,thread17,value18,seqnum18,thread18,value19,seqnum19,thread19,value20,seqnum20,thread20,value21,seqnum21,thread21,value22,seqnum22,thread22,value23,seqnum23,thread23,value24,seqnum24,thread24,value25,seqnum25,thread25,value26,seqnum26,thread26,value27,seqnum27,thread27,value28,seqnum28,thread28,value29,seqnum29,thread29,value30,seqnum30,thread30,value31,seqnum31,thread31,value32,seqnum32,thread32
selogger/testdata/SimpleTarget,main,([Ljava/lang/String;)V,d8479d1c,15,0,"methodtype=static",METHOD_ENTRY,void,1,1,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
selogger/testdata/SimpleTarget,main,([Ljava/lang/String;)V,d8479d1c,15,0,"index=0",METHOD_PARAM,object,1,1,[Ljava.lang.String;@3f3658dc,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
selogger/testdata/SimpleTarget,main,([Ljava/lang/String;)V,d8479d1c,15,0,"null",LABEL,int,1,1,0,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
selogger/testdata/SimpleTarget,main,([Ljava/lang/String;)V,d8479d1c,15,1,"null",LINE_NUMBER,void,1,1,0,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
selogger/testdata/SimpleTarget,main,([Ljava/lang/String;)V,d8479d1c,15,2,"type=selogger/testdata/SimpleTarget",NEW_OBJECT,void,1,1,0,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
selogger/testdata/SimpleTarget,main,([Ljava/lang/String;)V,d8479d1c,15,4,"opcode=INVOKESPECIAL,owner=selogger/testdata/SimpleTarget,name=<init>,desc=()V,methodtype=constructor,created=2",CALL,void,1,1,0,10,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
selogger/testdata/SimpleTarget,main,([Ljava/lang/String;)V,d8479d1c,15,4,"type=V",CALL_RETURN,void,1,1,0,24,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
selogger/testdata/SimpleTarget,main,([Ljava/lang/String;)V,d8479d1c,15,4,"created=2",NEW_OBJECT_CREATED,object,1,1,selogger.testdata.SimpleTarget@3b09dbe2,25,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
selogger/testdata/SimpleTarget,main,([Ljava/lang/String;)V,d8479d1c,15,5,"varindex=1,name=instance,type=Lselogger/testdata/SimpleTarget;",LOCAL_STORE,object,1,1,selogger.testdata.SimpleTarget@3b09dbe2,26,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
selogger/testdata/SimpleTarget,main,([Ljava/lang/String;)V,d8479d1c,16,6,"null",LABEL,int,1,1,4,27,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
